Parameter,Response,Std. Effect,95% CI,pd,ps,BF
[Sport practice experience (months)],HF,-0.56,"[-1.05, -0.1]",0.988,0.973,1.27
[Sport practice experience (months)],LF,-0.5,"[-0.97, 0]",0.978,0.951,0.67
[Sport practice experience (months)],RMSSD,-0.54,"[-1.1, -0.02]",0.976,0.953,0.73
[Sport practice experience (months)],SDNN,-0.49,"[-1.05, 0.07]",0.96,0.92,0.47
[Sport practice experience (months)],VLF,-0.5,"[-0.98, -0.01]",0.979,0.955,0.78
[Sport practice frequency (weekly)],HF,0.8,"[0.24, 1.37]",0.996,0.99,3.51
[Sport practice frequency (weekly)],LF,0.82,"[0.22, 1.36]",0.996,0.992,4.23
[Sport practice frequency (weekly)],Mean RR,0.69,"[0.16, 1.2]",0.993,0.983,1.99
[Sport practice frequency (weekly)],RMSSD,0.86,"[0.22, 1.49]",0.993,0.988,3.61
[Sport practice frequency (weekly)],SDNN,0.89,"[0.19, 1.52]",0.994,0.988,3.16
[Sport practice frequency (weekly)],VLF,0.8,"[0.22, 1.37]",0.996,0.99,4.2
[Age (years old)],HF,0.48,"[-0.17, 1.13]",0.934,0.884,0.35
[Age (years old)],LF,0.45,"[-0.21, 1.11]",0.92,0.867,0.31
[Age (years old)],Mean RR,0.95,"[0.31, 1.53]",0.996,0.994,5.96
[Age (years old)],RMSSD,0.48,"[-0.29, 1.21]",0.905,0.853,0.3
[Age (years old)],SDNN,0.44,"[-0.36, 1.2]",0.88,0.82,0.26
[Age (years old)],VLF,0.43,"[-0.22, 1.1]",0.913,0.851,0.28
[Body fat (%)],HF,-0.74,"[-1.85, 0.39]",0.911,0.879,0.49
[Body fat (%)],LF,-0.79,"[-1.92, 0.33]",0.919,0.891,0.54
[Body fat (%)],Mean RR,-0.6,"[-1.59, 0.46]",0.887,0.847,0.36
[Body fat (%)],RMSSD,-0.5,"[-1.79, 0.73]",0.806,0.756,0.29
[Body fat (%)],VLF,-0.79,"[-1.91, 0.35]",0.918,0.89,0.53
[Body fat (%)] ⨉ [Sport practice experience (months)],HF,1.01,"[-0.05, 2.18]",0.965,0.951,1.11
[Body fat (%)] ⨉ [Sport practice experience (months)],LF,0.85,"[-0.28, 1.97]",0.938,0.914,0.67
[Body fat (%)] ⨉ [Sport practice experience (months)],RMSSD,1,"[-0.21, 2.27]",0.946,0.926,0.79
[Body fat (%)] ⨉ [Sport practice experience (months)],SDNN,0.99,"[-0.3, 2.31]",0.938,0.918,0.75
[Body fat (%)] ⨉ [Sport practice experience (months)],VLF,0.83,"[-0.3, 1.96]",0.933,0.911,0.63
[Body fat (%)] ⨉ [Sport practice frequency (weekly)],HF,-1.12,"[-1.8, -0.44]",0.998,0.997,15.81
[Body fat (%)] ⨉ [Sport practice frequency (weekly)],LF,-1.1,"[-1.8, -0.42]",0.998,0.997,13.61
[Body fat (%)] ⨉ [Sport practice frequency (weekly)],RMSSD,-0.93,"[-1.69, -0.13]",0.988,0.979,1.97
[Body fat (%)] ⨉ [Sport practice frequency (weekly)],SDNN,-0.88,"[-1.66, -0.05]",0.981,0.969,1.39
[Body fat (%)] ⨉ [Sport practice frequency (weekly)],VLF,-1.1,"[-1.79, -0.41]",0.998,0.996,11.5
[Body fat (%)] ⨉ [Age (years old)],Mean RR,0.6,"[-0.05, 1.19]",0.971,0.949,0.8
[Muscle mass (kg)],HF,0.49,"[-0.53, 1.47]",0.84,0.787,0.27
[Muscle mass (kg)],LF,0.45,"[-0.56, 1.48]",0.822,0.763,0.26
[Muscle mass (kg)],Mean RR,0.56,"[-0.42, 1.43]",0.895,0.853,0.36
[Muscle mass (kg)],RMSSD,0.55,"[-0.55, 1.69]",0.85,0.803,0.31
[Muscle mass (kg)],SDNN,0.55,"[-0.59, 1.74]",0.843,0.801,0.33
[Muscle mass (kg)],VLF,0.45,"[-0.56, 1.48]",0.815,0.757,0.25
[Muscle mass (kg)] ⨉ [Sport practice experience (months)],HF,1.13,"[-0.43, 2.71]",0.932,0.915,0.87
[Muscle mass (kg)] ⨉ [Sport practice experience (months)],LF,0.89,"[-0.67, 2.46]",0.88,0.853,0.55
[Muscle mass (kg)] ⨉ [Sport practice experience (months)],RMSSD,1.13,"[-0.6, 2.9]",0.904,0.883,0.72
[Muscle mass (kg)] ⨉ [Sport practice experience (months)],SDNN,1.14,"[-0.69, 2.93]",0.9,0.878,0.72
[Muscle mass (kg)] ⨉ [Sport practice experience (months)],VLF,0.87,"[-0.71, 2.46]",0.875,0.848,0.52
[Muscle mass (kg)] ⨉ [Sport practice frequency (weekly)],HF,-0.37,"[-1.14, 0.4]",0.836,0.765,0.21
[Muscle mass (kg)] ⨉ [Age (years old)],HF,-0.65,"[-1.61, 0.17]",0.935,0.902,0.49
[Muscle mass (kg)] ⨉ [Age (years old)],LF,-0.54,"[-1.43, 0.36]",0.896,0.848,0.33
[Muscle mass (kg)] ⨉ [Age (years old)],RMSSD,-0.72,"[-1.7, 0.25]",0.932,0.904,0.54
[Muscle mass (kg)] ⨉ [Age (years old)],SDNN,-0.77,"[-1.75, 0.26]",0.935,0.908,0.55
[Muscle mass (kg)] ⨉ [Age (years old)],VLF,-0.51,"[-1.37, 0.41]",0.882,0.829,0.3
[Mean arterial pressure (mmHg)],HF,-0.65,"[-1.51, 0.12]",0.949,0.917,0.54
[Mean arterial pressure (mmHg)],LF,-0.58,"[-1.4, 0.25]",0.926,0.887,0.41
[Mean arterial pressure (mmHg)],Mean RR,-0.78,"[-1.54, -0.03]",0.978,0.965,1.18
[Mean arterial pressure (mmHg)],RMSSD,-0.73,"[-1.64, 0.19]",0.944,0.921,0.62
[Mean arterial pressure (mmHg)],SDNN,-0.77,"[-1.72, 0.15]",0.95,0.927,0.67
[Mean arterial pressure (mmHg)],VLF,-0.55,"[-1.37, 0.27]",0.914,0.873,0.37
